"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Премахването на %1 не премахва информацията асоциирана с %1 (прим. категории, продукти, др.), и %1 няма да може да бъде възстановено. Препоръчваме да създадете архив на базата преди да изтриете %1.",module,Magento_Backend
"Something went wrong. Please try again.","Нещо не е наред. Моля оптайте отново.",module,Magento_Backend
"This store cannot be deleted.","Този склад на може да бъде премахнат.",module,Magento_Backend
"You deleted the store.","Премахнахте склад.",module,Magento_Backend
"Unable to delete the store. Please try again later.","Не може да се премахне склад. Моля опитайте по-късно.",module,Magento_Backend
"This store view cannot be deleted.","Този Изглед Склад не може да се премахне.",module,Magento_Backend
"Store View","Изглед Склад",module,Magento_Backend
"You deleted the store view.","Изтрихте Изглед Склад.",module,Magento_Backend
"Unable to delete the store view. Please try again later.","Невъзможно премахването на Изглед Склад. Моля опитайте по-късно.",module,Magento_Backend
"This website cannot be deleted.","Този сайт ме може да бъде изтрит.",module,Magento_Backend
"You deleted the website.","Изтрихте сайт.",module,Magento_Backend
"Unable to delete the website. Please try again later.","Невъзможно премахването на сайт. Моля опитайте по-късноUnable to delete the website. Please try again later.",module,Magento_Backend
"The website does not exist.","Сайтът не съществува.",module,Magento_Backend
"Before modifying the website code please make sure it is not used in index.php.","Преди да променяте кода на сайта, моля уверете се че не се използва в index.php.",module,Magento_Backend
"The store does not exist","Складът не съществува",module,Magento_Backend
"Store view doesn't exist","Изглед Склад не съществува",module,Magento_Backend
"Before modifying the store view code please make sure it is not used in index.php.","Преди да променяте кода на Изглед Склада, моля уверете се че не се използва в index.php.",module,Magento_Backend
"New ","Ново ",module,Magento_Backend
"You saved the website.","Запазихте сайта.",module,Magento_Backend
"An inactive store view cannot be saved as default store view","Неактивен Изглед Склад не може да се запише като основен",module,Magento_Backend
"You saved the store.","Запазихте склада.",module,Magento_Backend
"The default store cannot be disabled","Основният склад не може да се деактивира",module,Magento_Backend
"You saved the store view.","Запомнихте Изглед Скалда.",module,Magento_Backend
"Something went wrong while saving. Please review the error log.","Нещо не е наред при запомняне. Вижте журналите за грешки.",module,Magento_Backend
"Last 24 Hours","Последни 24 Часа",module,Magento_Backend
"Last 7 Days","Последни 7 Дни",module,Magento_Backend
"Current Month","Текущ Месец",module,Magento_Backend
YTD,YTD,module,Magento_Backend
2YTD,2YTD,module,Magento_Backend
"Authentication storage is incorrect.","Authentication storage is incorrect.",module,Magento_Backend
"You did not sign in correctly or your account is temporarily disabled.","Не можахте да се представите коректно или вашите данни са временно деактивирани.",module,Magento_Backend
"Authentication error occurred.","Грешка при представяне.",module,Magento_Backend
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)","Административната сесия трябва да е по кратка или равна на 31536000 секунди (една година)",module,Magento_Backend
"Admin session lifetime must be greater than or equal to 60 seconds","Административната сесия трябва да е по-продължителна от 59 секунди",module,Magento_Backend
Order,Поръчка,module,Magento_Backend
"Order #%1","Поръчка #%1",module,Magento_Backend
"Access denied","Отказан достъп",module,Magento_Backend
"Please try to sign out and sign in again.","Моля опитайте да излезете и влезте отново.",module,Magento_Backend
"If you continue to receive this message, please contact the store owner.","Ако продължавате да виждате това съобщение моля свържете се със Собственика на Склада.",module,Magento_Backend
"You need more permissions to access this.","Необходими са ви повече права за да извършите това.",module,Magento_Backend
"Welcome, please sign in","Здравейте, Моля регистрирайте се",module,Magento_Backend
Username,Потребител,module,Magento_Backend
"user name","потребител",module,Magento_Backend
Password,Парола,module,Magento_Backend
password,парола,module,Magento_Backend
"Sign in","Регистриране",module,Magento_Backend
"Select Range:","Изберете обхват:",module,Magento_Backend
"No Data Found","Нчма данни",module,Magento_Backend
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Графиката е неактивна. За да я активирате, натиснете <a href=""%1"">тук</a>.",module,Magento_Backend
"Last Orders","Последни Поръчки",module,Magento_Backend
"Last Search Terms","Последни търсения",module,Magento_Backend
"Top Search Terms","Най-търсено",module,Magento_Backend
"There are no search keywords.","Нчма посочени данни за търсене.",module,Magento_Backend
"View Statistics For:","Извеждане статистика за:",module,Magento_Backend
"All Websites","Всички сайтове",module,Magento_Backend
"Reload Data","Презареждане на данни",module,Magento_Backend
"Browse Files...","Преглеждане на файлове...",module,Magento_Backend
Magento,Magento,module,Magento_Backend
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright &copy; %1 Magento Commerce Inc. All rights reserved.",module,Magento_Backend
"ver. %1","ver. %1",module,Magento_Backend
"Magento Admin Panel","Административен Панел Magento",module,Magento_Backend
"Account Setting","Данни на Сметката",module,Magento_Backend
"Customer View","Изглед Клиенти",module,Magento_Backend
"Sign Out","Отписване",module,Magento_Backend
"About the calendar","За календара",module,Magento_Backend
Close,Затваряне,module,Magento_Backend
"Go Today","Иди на Днес",module,Magento_Backend
Previous,Предишен,module,Magento_Backend
Next,Напред,module,Magento_Backend
WK,WK,module,Magento_Backend
Time,Време,module,Magento_Backend
Hour,Час,module,Magento_Backend
Minute,Минута,module,Magento_Backend
"JavaScript may be disabled in your browser.","Може би JavaScript е деактивиран във Браузъра ви.",module,Magento_Backend
"To use this website you must first enable JavaScript in your browser.","За да използвате сайта първо трябва да активирате JavaScript в Браузъра си.",module,Magento_Backend
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Това е само демонстрационен сайт. Можете да записвате поръчки, но нищо няма да бъде обработвано.",module,Magento_Backend
"Report Bugs","Съобщи за грешки",module,Magento_Backend
"Store View:","Изглед Склад:",module,Magento_Backend
"Stores Configuration","Цонфигурация на Складове",module,Magento_Backend
"Please confirm scope switching. All data that hasn't been saved will be lost.","Моля потвърдете промяната на обхват. Всички незаписани данни ще бъдат загубени.",module,Magento_Backend
"Additional Cache Management","Допълнително управление на кеша",module,Magento_Backend
"Flush Catalog Images Cache","Изплакване на кеша за изображения от каталога",module,Magento_Backend
"Pregenerated product images files","Прегенерирани изображения на продукти",module,Magento_Backend
"Flush JavaScript/CSS Cache","Изплакване на JavaScript/CSS кеша",module,Magento_Backend
"Themes JavaScript and CSS files combined to one file","Теми JavaScript и CSS файлове комбинирани в един файл",module,Magento_Backend
"Flush Static Files Cache","Изплакване на кеша за статични файлове",module,Magento_Backend
"Preprocessed view files and static files","Предварително подготвени изгледни и статични файлове",module,Magento_Backend
Catalog,Каталог,module,Magento_Backend
JavaScript/CSS,JavaScript/CSS,module,Magento_Backend
"JavaScript/CSS Cache","JavaScript/CSS кеш",module,Magento_Backend
"No records found.","Няма записи.",module,Magento_Backend
Images,Изображения,module,Magento_Backend
"Big Image","Голямо изображение",module,Magento_Backend
Thumbnail,Иконка,module,Magento_Backend
"Additional Settings","Допълнителни настройки",module,Magento_Backend
"records found","записи открити",module,Magento_Backend
selected,избрано,module,Magento_Backend
"per page","на страница",module,Magento_Backend
"Previous page","Предишна страница",module,Magento_Backend
"of %1","от %1",module,Magento_Backend
"Next page","Следваща страница",module,Magento_Backend
"Export to:","Експорт към:",module,Magento_Backend
Actions,Действия,module,Magento_Backend
"Mass Actions","Групови действия",module,Magento_Backend
"Unselect All","Размаркиране всички",module,Magento_Backend
"Select Visible","Избиране видимите",module,Magento_Backend
"Unselect Visible","Размаркиране на видимите",module,Magento_Backend
"Changes have been made to this section that have not been saved.","В тази секция са направени промени, които не са записани.",module,Magento_Backend
"This tab contains invalid data. Please resolve this before saving.","Този таб съдържа невалидни данни. Моля коригирайте това преди запис.",module,Magento_Backend
"The information in this tab has been changed.","Информацията в този таб е променена.",module,Magento_Backend
Loading...,Зареждане...,module,Magento_Backend
"System Backup","Архив на Системата",module,Magento_Backup
"Database and Media Backup","Архив на Базите и Медия",module,Magento_Backup
"Database Backup","Архив на Базите",module,Magento_Backup
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Архивът може да бъде възстановен с <a href=""%1"">%2</a> на Windows система.",module,Magento_Backup
"You need more permissions to activate maintenance mode right now.","Имате нужда от още права за да активирате сервизен режим.",module,Magento_Backup
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","За да създадете архив размаркирайте ""Влизане в сервизен режим"" или променете правата си.",module,Magento_Backup
"Something went wrong while putting your store into maintenance mode.","Нещо не е наред при опит за влизане в сервизен режим.",module,Magento_Backup
"You need more free space to create a backup.","Имате нужда от още свободно място за да създадете архив.",module,Magento_Backup
"You need more permissions to create a backup.","Имате нужда от още права за да създадете архив.",module,Magento_Backup
"We can't create the backup right now.","Не можем да създадем архив точно сега.",module,Magento_Backup
Backups,Архиви,module,Magento_Backup
System,Система,module,Magento_Backup
Tools,Инструменти,module,Magento_Backup
Backup,Архив,module,Magento_Backup
"We can't delete one or more backups.","Не можем да изтрием един или няколко архива.",module,Magento_Backup
failed,провалено,module,Magento_Backup
successful,успешно,module,Magento_Backup
"You deleted the selected backup(s).","Премахнахте избраните архиви.",module,Magento_Backup
"Can't load snapshot archive","Не може да се зареди snapshot архивът",module,Magento_Backup
"Please correct the password.","Моля коригирайте паролата.",module,Magento_Backup
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","За да завършите възстановяването махнете избора от  ""Влизане в сервизен режим"" или променете своите права.",module,Magento_Backup
"We can't find the backup file.","Не можем да открием архивен файл.",module,Magento_Backup
"We can't connect to the FTP right now.","Не можем да се свържем към FTP.",module,Magento_Backup
"Failed to validate FTP.","Провалена проверка FTP.",module,Magento_Backup
"You need more permissions to perform a rollback.","Имате нужда от повече права за да задействате възстановяване.",module,Magento_Backup
"Failed to rollback.","Провалено възстановяване.",module,Magento_Backup
Database,База,module,Magento_Backup
"Database and Media","База и Медия",module,Magento_Backup
"System (excluding Media)","Система (без Медия)",module,Magento_Backup
"You created the system backup.","Създадохте ситемен архив.",module,Magento_Backup
"You created the system backup (excluding media).","Създадохте ситемен архив (без Медия).",module,Magento_Backup
"You created the database and media backup.","Създадохте архивна Базата с Медия.",module,Magento_Backup
"You created the database backup.","Създадохте архив на Базата.",module,Magento_Backup
"Please correct the order of creation for a new backup.","Моля коригирайте реда на създаване на нош архив.",module,Magento_Backup
"The backup file does not exist.","Архивът не съществува.",module,Magento_Backup
"The backup file path was not specified.","Не е псочен път за архивния файл.",module,Magento_Backup
"The backup file ""%1"" does not exist.","Архивният файл ""%1"" не съществува.",module,Magento_Backup
